word,popularity
babbling,negative
baboon,negative
baby,positive
baccalaureate,positive
backache,negative
backaches,negative
backaching,negative
backbite,negative
backbiting,negative
backbone,positive
back-logged,negative
backward,negative
backwardness,negative
backwards,negative
backwater,negative
backwood,negative
back-wood,negative
backwoods,negative
back-woods,negative
bacteria,negative
bacterium,negative
bad,negative
badger,negative
badly,negative
badness,negative
baffle,negative
baffled,negative
bafflement,negative
baffling,negative
bailiff,negative
bait,negative
balance,positive
balanced,positive
bale,negative
balk,negative
ballad,positive
ballet,positive
ballot,positive
balm,negative
balm,positive
balsam,positive
ban,negative
banal,negative
banalize,negative
bandit,negative
bane,negative
bang,negative
banger,negative
banish,negative
banished,negative
banishment,negative
bankrupt,negative
bankruptcy,negative
banquet,positive
banshee,negative
baptism,positive
baptismal,positive
barb,negative
barbarian,negative
barbaric,negative
barbarically,negative
barbarism,negative
barbarity,negative
barbarous,negative
barbarously,negative
bard,positive
bargain,positive
bark,negative
barred,negative
barren,negative
barricade,negative
barrier,negative
baseless,negative
bash,negative
bashed,negative
bashful,negative
bashing,negative
basic,positive
basketball,positive
bastard,negative
bastards,negative
bastion,positive
bath,positive
batter,negative
battered,negative
battering,negative
battery,negative
battle,negative
battled,negative
battlefield,negative
battleground,negative
battle-lines,negative
batty,negative
bawdy,negative
bayonet,negative
beacon,positive
beam,positive
beaming,positive
bearer,negative
bearish,negative
beast,negative
beastly,negative
beating,negative
beauteous,positive
beautification,positive
beautiful,positive
beautifullly,positive
beautifully,positive
beautify,positive
beauty,positive
beckon,positive
beckoned,positive
beckoning,positive
beckons,positive
bedlam,negative
bedlamite,negative
bedrock,positive
beer,positive
befall,negative
befitting,positive
befoul,negative
befriend,positive
beg,negative
beggar,negative
beggarly,negative
begging,negative
beguile,negative
behemoth,negative
beholden,negative
belabor,negative
belated,negative
beleaguer,negative
belie,negative
believable,positive
believeable,positive
believing,positive
belittle,negative
belittled,negative
belittling,negative
bellicose,negative
belligerence,negative
belligerent,negative
belligerently,negative
beloved,positive
belt,negative
bemoan,negative
bemoaning,negative
bemused,negative
bender,negative
benefactor,positive
beneficent,positive
beneficial,positive
beneficially,positive
beneficiary,positive
benefit,positive
benefits,positive
benevolence,positive
benevolent,positive
benifits,positive
benign,positive
bent,negative
berate,negative
bereave,negative
bereaved,negative
bereavement,negative
bereft,negative
berserk,negative
berth,positive
beseech,negative
beset,negative
besiege,negative
besmirch,negative
best,positive
bestial,negative
best-known,positive
best-performing,positive
best-selling,positive
betray,negative
betrayal,negative
betrayals,negative
betrayer,negative
betraying,negative
betrays,negative
betrothed,positive
better,positive
better-known,positive
betterment,positive
better-than-expected,positive
beutifully,positive
beverage,positive
bewail,negative
beware,negative
bewilder,negative
bewildered,negative
bewildering,negative
bewilderingly,negative
bewilderment,negative
bewitch,negative
bias,negative
biased,negative
biases,negative
biblical,positive
bicker,negative
bickering,negative
bid-rigging,negative
bier,negative
bigot,negative
bigoted,negative
bigotries,negative
bigotry,negative
bile,negative
bilingual,positive
biopsy,negative
birch,negative
birth,positive
birthday,positive
birthplace,negative
bitch,negative
bitchy,negative
bite,negative
biting,negative
bitingly,negative
bitter,negative
bitterly,negative
bitterness,negative
bizarre,negative
blab,negative
blabber,negative
black,negative
blackjack,negative
blackmail,negative
blackness,negative
blah,negative
blame,negative
blameless,positive
blameworthy,negative
bland,negative
blandish,negative
blaspheme,negative
blasphemous,negative
blasphemy,negative
blast,negative
blasted,negative
blatant,negative
blatantly,negative
blather,negative
blaze,negative
bleak,negative
bleakly,negative
bleakness,negative
bleed,negative
bleeding,negative
bleeds,negative
blemish,negative
bless,positive
blessed,positive
blessing,positive
blessings,positive
blight,negative
blighted,negative
blind,negative
blinded,negative
blinding,negative
blindingly,negative
blindly,negative
blindness,negative
blindside,negative
bliss,positive
blissful,positive
blissfully,positive
blister,negative
blistering,negative
blithe,positive
bloated,negative
blob,negative
block,negative
blockade,negative
blockage,negative
blockbuster,positive
blockhead,negative
blood,negative
bloodless,positive
bloodshed,negative
bloodthirsty,negative
bloody,negative
bloom,positive
blossom,positive
blot,negative
blotchy,negative
blow,negative
blower,negative
blowout,negative
blues,negative
bluff,negative
blunder,negative
blundering,negative
blunders,negative
blunt,negative
blur,negative
bluring,negative
blurred,negative
blurring,negative
blurry,negative
blurs,negative
blurt,negative
blush,negative
boast,negative
boast,positive
boastful,negative
boasting,negative
bodyguard,positive
bog,negative
boggle,negative
bogus,negative
boil,negative
boilerplate,negative
boiling,negative
boisterous,negative
boisterous,positive
bold,positive
boldly,positive
boldness,positive
bolster,positive
bomb,negative
bombard,negative
bombardment,negative
bombastic,negative
bombed,negative
bonanza,positive
bondage,negative
bonds,negative
bonkers,negative
bonne,positive
bonny,positive
bonus,positive
bonuses,positive
boo,negative
booby,negative
bookish,positive
bookshop,positive
bookworm,negative
bookworm,positive
boom,positive
booming,positive
boon,positive
boost,positive
booze,negative
bore,negative
bored,negative
boredom,negative
bores,negative
boring,negative
borrower,negative
botch,negative
bother,negative
bothered,negative
bothering,negative
bothers,negative
bothersome,negative
bottom,negative
bound,negative
boundless,positive
bountiful,positive
bounty,positive
bouquet,positive
bout,negative
bovine,negative
bowdlerize,negative
boy,negative
boycott,negative
brag,negative
braggart,negative
bragger,negative
brainiest,positive
brainless,negative
brains,positive
brainwash,negative
brainy,positive
brand-new,positive
brandy,negative
brash,negative
brashly,negative
brashness,negative
brat,negative
bravado,negative
brave,positive
bravery,positive
bravo,positive
brawl,negative
brazen,negative
brazenly,negative
brazenness,negative
breach,negative
break,negative
breakdown,negative
breakfast,positive
breaking,negative
breakneck,negative
break-point,negative
breaks,negative
breakthrough,positive
breakthroughs,positive
breakup,negative
break-up,negative
breakups,negative
break-ups,negative
breathlessness,positive
breathtaking,positive
breathtakingly,positive
breeze,positive
bribe,negative
bribery,negative
bridal,positive
bride,positive
bridegroom,positive
bridesmaid,positive
brigade,negative
bright,positive
brighten,positive
brighter,positive
brightest,positive
brightness,positive
brilliance,positive
brilliances,positive
brilliant,positive
brilliantly,positive
brimstone,negative
brisk,positive
bristle,negative
brittle,negative
broad,positive
broadside,negative
brocade,positive
broil,negative
broke,negative
broken,negative
broken-hearted,negative
brood,negative
brothel,negative
brother,positive
brotherhood,positive
brotherly,positive
browbeat,negative
bruise,negative
bruised,negative
bruises,negative
bruising,negative
brunt,negative
brusque,negative
brutal,negative
brutalising,negative
brutalities,negative
brutality,negative
brutalize,negative
brutalizing,negative
brutally,negative
brute,negative
brutish,negative
bs,negative
buck,negative
buck,positive
buckle,negative
buddy,positive
buffet,negative
bug,negative
bugaboo,negative
bugging,negative
buggy,negative
bugs,negative
build,positive
building,positive
bulbous,negative
bulkier,negative
bulkiness,negative
bulky,negative
bulkyness,negative
bull,positive
bull----,negative
bull****,negative
bulldog,positive
bulletproof,positive
bullies,negative
bullish,positive
bullshit,negative
bullshyt,negative
bully,negative
bullying,negative
bullyingly,negative
bum,negative
bummer,negative
bump,negative
bumped,negative
bumping,negative
bumpping,negative
bumps,negative
bumpy,negative
bungle,negative
bungler,negative
bungling,negative
bunk,negative
buoy,positive
buoyant,positive
burden,negative
burdensome,negative
burdensomely,negative
bureaucracy,negative
bureaucrat,negative
burglar,negative
burglary,negative
burial,negative
buried,negative
burke,negative
burn,negative
burned,negative
burning,negative
burns,negative
burnt,negative
buss,positive
bust,negative
busted,negative
busts,negative
busy,negative
busybody,negative
butcher,negative
butchery,negative
butler,positive
butt,negative
buttery,positive
buxom,positive
buzz,positive
buzzed,negative
buzzing,negative
byzantine,negative
cab,positive
cabal,negative
cabinet,positive
cackle,negative
cacophony,negative
cad,negative
cadaver,negative
cafe,positive
cage,negative
cajole,positive
calamities,negative
calamitous,negative
calamitously,negative
calamity,negative
calculating,negative
calculator,positive
calf,positive
callous,negative
calls,negative
calm,positive
calming,positive
calmness,positive
calumniate,negative
calumniation,negative
calumnies,negative
calumnious,negative
calumniously,negative
calumny,negative
campaigning,negative
canary,positive
cancel,negative
cancer,negative
cancerous,negative
candid,positive
candidate,positive
candied,positive
candor,positive
canker,negative
cannibal,negative
cannibalism,negative
cannibalize,negative
cannon,negative
capability,positive
capable,positive
capably,positive
capitalist,positive
capitulate,negative
capricious,negative
capriciously,negative
capriciousness,negative
capsize,negative
captain,positive
captivate,positive
captivating,positive
captivation,positive
captive,negative
captivity,negative
captor,negative
capture,negative
carcass,negative
carcinoma,negative
cardiomyopathy,negative
career,positive
carefree,positive
careful,positive
carefully,positive
careless,negative
carelessness,negative
caress,positive
caretaker,positive
caricature,negative
caries,negative
carnage,negative
carnal,negative
carnivorous,negative
carol,positive
carp,negative
cartel,negative
cartoon,negative
cartoonish,negative
cascade,positive
case,negative
cash,positive
cashback,positive
cashbacks,positive
cash-strapped,negative
casket,negative
caste,negative
castigate,negative
castrated,negative
casualty,negative
cataclysm,negative
cataclysmal,negative
cataclysmic,negative
cataclysmically,negative
catalyst,positive
cataract,negative
catastrophe,negative
catastrophes,negative
catastrophic,negative
catastrophically,negative
catastrophies,negative
catchy,positive
categorical,positive
cater,positive
cathartic,positive
cathedral,positive
catheter,negative
caustic,negative
caustically,negative
caution,negative
cautionary,negative
cautious,negative
cautious,positive
cautiously,positive
cave,negative
cede,negative
celebrate,positive
celebrated,positive
celebrating,positive
celebration,positive
celebratory,positive
celebrity,positive
celebrity,negative
celestial,positive
cemetery,negative
censor,negative
censure,negative
center,positive
centurion,positive
cerebral,positive
ceremony,positive
certainty,positive
cess,negative
cessation,negative
chafe,negative
chaff,negative
chafing,negative
chagrin,negative
chairman,positive
chairwoman,positive
challenge,negative
challenging,negative
champ,positive
champion,positive
chant,positive
chaos,negative
chaotic,negative
charade,negative
chargeable,negative
charger,positive
charisma,negative
charisma,positive
charismatic,positive
charitable,positive
charity,positive
charm,positive
charmed,negative
charmed,positive
charming,positive
charmingly,positive
chase,negative
chaste,positive
chasten,negative
chastise,negative
chastisement,negative
chastity,positive
chatter,negative
chatterbox,negative
chattering,positive
chatty,negative
cheap,negative
cheapen,negative
cheaper,positive
cheapest,positive
cheaply,negative
cheat,negative
cheated,negative
cheater,negative
cheating,negative
cheats,negative
checkered,negative
checklist,positive
cheer,positive
cheerful,positive
cheerfulness,positive
cheering,positive
cheerless,negative
cheery,positive
cheesecake,negative
cheesy,negative
chemist,positive
cherish,positive
cherished,positive
cherry,positive
cherub,positive
chic,positive
chicane,negative
chide,negative
chieftain,positive
child,positive
childhood,positive
childish,negative
chill,negative
chilly,negative
chintzy,negative
chirp,positive
chisel,positive
chivalrous,positive
chivalry,positive
chloroform,negative
chocolate,positive
choice,positive
choir,positive
choke,negative
cholera,negative
choleric,negative
chop,negative
choppy,negative
choral,positive
chore,negative
chorus,positive
chosen,positive
chowder,positive
chronic,negative
chronicle,positive
chuckle,positive
chum,positive
chunky,negative
church,positive
cider,positive
cigarette,negative
circumcision,positive
circumvention,negative
circumvention,positive
citizen,positive
civil,positive
civility,positive
civilization,positive
civilize,positive
civilized,positive
clairvoyant,positive
clamor,negative
clamorous,negative
clap,positive
clarify,positive
clarity,positive
clash,negative
clashing,negative
classic,positive
classical,positive
classics,positive
classify,positive
classy,positive
claw,negative
clean,positive
cleaner,positive
cleanest,positive
cleaning,positive
cleanliness,positive
cleanly,positive
cleanse,positive
cleansing,positive
clear,positive
clearance,positive
clear-cut,positive
cleared,positive
clearer,positive
clearly,positive
clearness,positive
clears,positive
clerical,positive
clever,positive
cleverly,positive
cleverness,positive
cliche,negative
cliched,negative
climax,positive
clique,negative
clog,negative
clogged,negative
clogs,negative
cloister,negative
close,negative
closeness,positive
closure,positive
clothe,positive
cloud,negative
clouded,negative
cloudiness,negative
clouding,negative
cloudy,negative
clout,positive
clown,positive
clueless,negative
clump,negative
clumsy,negative
clunky,negative
coalition,positive
coarse,negative
coast,positive
cocaine,negative
cocky,negative
coerce,negative
coercion,negative
coercive,negative
coexist,positive
coffin,negative
cogent,positive
cognitive,positive
cohere,positive
coherence,positive
coherent,positive
cohesion,positive
cohesive,positive
cold,negative
coldly,negative
coldness,negative
colic,negative
collapse,negative
collectively,positive
collision,negative
collude,negative
collusion,negative
colonel,positive
colorful,positive
colossal,positive
coma,negative
comatose,negative
combat,negative
combatant,negative
combative,negative
combust,negative
comeback,positive
comedy,negative
comely,positive
comfort,positive
comfortable,positive
comfortably,positive
comforting,positive
comfy,positive
comical,negative
commandant,positive
commanding,positive
commemorate,positive
commemoration,positive
commemorative,positive
commend,positive
commendable,positive
commendably,positive
commensurate,positive
commentator,positive
commiserate,negative
commitment,positive
committal,negative
committed,positive
commodious,positive
commodore,positive
commonplace,negative
commonsense,positive
commonsensible,positive
commonsensibly,positive
commonsensical,positive
commonwealth,positive
commotion,negative
commotions,negative
communicate,positive
communicative,positive
communion,positive
communism,negative
communist,negative
community,positive
commutation,positive
commute,positive
compact,positive
compactly,positive
companion,positive
compassion,positive
compassionate,positive
compatibility,positive
compatible,positive
compelling,positive
compensate,positive
compensatory,positive
competence,positive
competency,positive
competent,positive
competition,negative
competitive,positive
competitiveness,positive
complacency,positive
complacent,negative
complain,negative
complained,negative
complaining,negative
complains,negative
complaint,negative
complaints,negative
complement,positive
complementary,positive
complemented,positive
complements,positive
completely,positive
completeness,positive
completing,positive
completion,positive
complex,negative
complexed,negative
complexity,negative
compliance,positive
compliant,positive
complicate,negative
complicated,negative
complication,negative
complicit,negative
complicity,negative
complicity,positive
compliment,positive
complimentary,positive
composed,positive
composer,positive
compost,negative
composure,positive
comprehend,positive
comprehensive,positive
compromise,positive
compromises,positive
compulsion,negative
compulsive,negative
compulsory,negative
comrade,positive
comrades,positive
conceal,negative
concealed,negative
concealment,negative
concede,negative
conceded,negative
conceit,negative
conceited,negative
conceivable,positive
concen,negative
concens,negative
concentric,positive
concern,negative
concerned,negative
concerns,negative
concession,negative
concessions,negative
conciliate,positive
conciliation,positive
conciliatory,positive
concise,positive
concluding,positive
conclusive,positive
concord,positive
concordance,positive
concrete,positive
concussion,negative
condemn,negative
condemnable,negative
condemnation,negative
condemned,negative
condemns,negative
condescend,negative
condescending,negative
condescendingly,negative
condescension,negative
condolence,negative
condolence,positive
condolences,negative
condone,positive
conducive,positive
conductivity,positive
confederate,positive
confess,negative
confess,positive
confession,negative
confessions,negative
confidence,positive
confident,positive
confine,negative
confined,negative
confinement,negative
confirmed,positive
confiscate,negative
confiscation,negative
conflagration,negative
conflict,negative
conflicted,negative
conflicting,negative
conflicts,negative
conformance,positive
confound,negative
confounded,negative
confounding,negative
confront,negative
confrontation,negative
confrontational,negative
confuse,negative
confused,negative
confuses,negative
confusing,negative
confusion,negative
confusions,negative
congenial,positive
congested,negative
congestion,negative
congratulate,positive
congratulation,positive
congratulations,positive
congratulatory,positive
congregation,positive
congruence,positive
conjuring,negative
connoisseur,positive
conquest,negative
cons,negative
conscience,positive
conscientious,positive
consciousness,positive
conscons,negative
consecration,positive
consensus,positive
conservation,positive
conservative,negative
conserve,positive
considerable,positive
considerate,positive
consistency,positive
consistent,positive
consistently,positive
console,positive
consonant,positive
conspicuous,negative
conspicuously,negative
conspiracies,negative
conspiracy,negative
conspirator,negative
conspiratorial,negative
conspire,negative
constancy,positive
constant,positive
consternation,negative
constipation,negative
constitutional,positive
constrain,negative
constrained,negative
constraint,negative
construct,positive
constructive,positive
consummate,positive
contact,positive
contagion,negative
contagious,negative
contaminate,negative
contaminated,negative
contaminates,negative
contaminating,negative
contamination,negative
contemplation,positive
contempt,negative
contemptible,negative
contemptuous,negative
contemptuously,negative
contend,negative
content,positive
contention,negative
contentious,negative
contentment,positive
continue,positive
continuity,positive
contort,negative
contortions,negative
contour,positive
contraband,negative
contracted,negative
contradict,negative
contradiction,negative
contradictory,negative
contrariness,negative
contrary,negative
contrasted,negative
contrasty,positive
contravene,negative
contravention,negative
contribute,positive
contribution,positive
contributor,positive
contrive,negative
contrived,negative
controversial,negative
controversy,negative
convenience,positive
convenient,positive
conveniently,positive
convent,positive
convention,positive
conversant,positive
conversational,positive
convert,positive
convict,negative
conviction,positive
conviction,negative
convience,positive
convienient,positive
convient,positive
convince,positive
convincing,positive
convincingly,positive
convoluted,negative
cool,positive
coolest,positive
coolness,positive
coop,negative
cooperate,positive
cooperating,positive
cooperation,positive
co-operation,positive
cooperative,positive
cooperatively,positive
coping,negative
copy,negative
copycat,negative
cordial,positive
core,positive
cornerstone,positive
coronation,positive
coroner,negative
corporal,negative
corporation,positive
corporeal,positive
corpse,negative
correct,positive
correction,negative
corrective,positive
correctly,positive
correspondence,positive
corroborate,positive
corrode,negative
corrosion,negative
corrosions,negative
corrosive,negative
corrupt,negative
corrupted,negative
corrupting,negative
corruption,negative
corrupts,negative
corruptted,negative
cosmopolitan,positive
cost-effective,positive
costlier,negative
costly,negative
cost-saving,positive
cosy,positive
cough,negative
council,positive
counsel,positive
counsellor,negative
counselor,positive
count,positive
counter-attack,positive
counter-attacks,positive
counterproductive,negative
counter-productive,negative
countess,positive
coupists,negative
courage,positive
courageous,positive
courageously,positive
courageousness,positive
coursing,negative
courteous,positive
courtesy,positive
courtly,positive
courtship,positive
cove,positive
covenant,positive
covet,negative
covetous,negative
coward,negative
cowardice,negative
cowardly,negative
cozy,positive
crabby,negative
crack,negative
crackdown,negative
cracked,negative
cracking,negative
cracks,negative
cradle,positive
craft,positive
craftily,negative
craftly,negative
craftsman,positive
crafty,negative
cramp,negative
cramped,negative
cramping,negative
crank,negative
cranky,negative
crap,negative
crappy,negative
craps,negative
crash,negative
crashed,negative
crashes,negative
crashing,negative
crass,negative
craven,negative
cravenly,negative
craving,positive
crawl,negative
craze,negative
crazed,negative
crazily,negative
craziness,negative
crazy,negative
creak,negative
creaking,negative
creaks,negative
cream,positive
create,positive
creative,positive
creature,negative
credence,positive
credential,positive
credibility,positive
credible,positive
credit,positive
creditable,positive
credited,positive
credulous,negative
